"Word"	"wordInItem"	"item"	"SurprisalReweighted"
"1"	"a"	3	"Filler_50"	1.847
"2"	"a"	5	"Filler_35"	1.951
"3"	"a"	7	"Filler_46"	2.191875
"4"	"a"	7	"Filler_8"	2.987125
"5"	"a"	10	"Filler_54"	3.829625
"6"	"a"	11	"Filler_6"	1.821375
"7"	"a"	12	"Filler_30"	3.69625
"8"	"a"	13	"Filler_26"	5.44775
"9"	"a"	13	"Filler_29"	3.34325
"10"	"a"	16	"Filler_53"	0.82725
"11"	"a"	17	"Filler_28"	2.2245
"12"	"a"	18	"Filler_25"	1.71525
"13"	"a"	20	"Filler_55"	1.87825
"14"	"according"	13	"Filler_41"	1.6915
"15"	"act"	16	"Filler_23"	4.97325
"16"	"administrator"	1	"Filler_26"	10.4965
"17"	"administrators"	13	"Filler_28"	11.325125
"18"	"after"	5	"Filler_12"	5.023
"19"	"after"	9	"Filler_8"	5.2045
"20"	"after"	10	"Filler_51"	4.682375
"21"	"after"	14	"Filler_28"	5.412625
"22"	"age"	7	"Filler_52"	0.146
"23"	"alcohol"	17	"Filler_46"	0.590875
"24"	"alien"	9	"Filler_47"	9.839375
"25"	"all"	6	"Filler_12"	6.8385
"26"	"all"	21	"Filler_53"	3.5195
"27"	"although"	5	"Filler_10"	9.531125
"28"	"although"	5	"Filler_4"	9.997625
"29"	"although"	8	"Filler_1"	11.2505
"30"	"although"	9	"Filler_44"	10.801625
"31"	"an"	8	"Filler_32"	2.293375
"32"	"and"	12	"Filler_55"	2.409125
"33"	"and"	14	"Filler_8"	3.3395
"34"	"and"	15	"Filler_49"	1.778125
"35"	"answer"	19	"Filler_54"	4.490375
"36"	"anthropologist"	7	"Filler_24"	12.20225
"37"	"anyone"	12	"Filler_1"	4.925625
"38"	"apartment"	6	"Filler_34"	5.784375
"39"	"apprehended"	5	"Filler_6"	10.461125
"40"	"appropriate"	16	"Filler_43"	2.99225
"41"	"argument"	2	"Filler_13"	9.2
"42"	"around"	10	"Filler_10"	7.1855
"43"	"arrested"	5	"Filler_46"	3.66475
"44"	"arrested"	8	"Filler_23"	5.465375
"45"	"arsonist"	7	"Filler_6"	20.984
"46"	"assignment"	5	"Filler_20"	8.359875
"47"	"assignments"	6	"Filler_48"	9.361
"48"	"astronaut"	1	"Filler_28"	11.26
"49"	"at"	2	"Filler_1"	6.091
"50"	"at"	2	"Filler_30"	3.103
"51"	"at"	2	"Filler_39"	2.689
"52"	"at"	2	"Filler_6"	3.533
"53"	"at"	4	"Filler_21"	4.228
"54"	"at"	5	"Filler_23"	7.175375
"55"	"at"	5	"Filler_37"	6.866
"56"	"at"	5	"Filler_49"	5.445375
"57"	"at"	6	"Filler_9"	4.66
"58"	"at"	7	"Filler_28"	4.55025
"59"	"at"	7	"Filler_29"	5.186
"60"	"at"	7	"Filler_35"	4.457875
"61"	"at"	22	"Filler_55"	2.99375
"62"	"ate"	1	"Filler_52"	6.992
"63"	"attacked"	5	"Filler_44"	5.514
"64"	"audience"	1	"Filler_21"	9.122
"65"	"average"	20	"Filler_17"	5.009375
"66"	"baffled"	5	"Filler_1"	22.692625
"67"	"baker"	4	"Filler_53"	12.057
"68"	"banquet"	4	"Filler_1"	15.229
"69"	"bar"	15	"Filler_21"	2.894375
"70"	"be"	15	"Filler_27"	0.997125
"71"	"be"	16	"Filler_54"	1.295625
"72"	"beach"	9	"Filler_35"	2.027125
"73"	"because"	5	"Filler_40"	7.315875
"74"	"because"	5	"Filler_41"	6.673875
"75"	"because"	8	"Filler_24"	7.904
"76"	"because"	8	"Filler_39"	5.2355
"77"	"because"	8	"Filler_6"	8.794875
"78"	"because"	9	"Filler_43"	9.49625
"79"	"because"	10	"Filler_19"	5.536875
"80"	"because"	12	"Filler_37"	6.536125
"81"	"because"	12	"Filler_53"	7.893375
"82"	"because"	14	"Filler_36"	6.222125
"83"	"before"	10	"Filler_21"	4.561375
"84"	"beggar"	1	"Filler_42"	12.667
"85"	"biker"	1	"Filler_46"	11.76
"86"	"blamed"	11	"Filler_14"	10.799
"87"	"blood"	12	"Filler_47"	9.478
"88"	"body"	19	"Filler_36"	1.94875
"89"	"booed"	7	"Filler_21"	8.58525
"90"	"book"	4	"Filler_15"	1.328
"91"	"bothered"	12	"Filler_29"	14.816
"92"	"bought"	9	"Filler_31"	2.82625
"93"	"box"	5	"Filler_45"	1.562875
"94"	"boy"	4	"Filler_17"	5.915625
"95"	"break"	13	"Filler_30"	1.6395
"96"	"brought"	16	"Filler_26"	5.41225
"97"	"bully"	1	"Filler_12"	12.134
"98"	"but"	14	"Filler_14"	7.062
"99"	"but"	15	"Filler_29"	5.192
"100"	"butler"	11	"Filler_55"	9.772375
"101"	"by"	7	"Filler_14"	8.75075
"102"	"calmed"	9	"Filler_49"	13.482
"103"	"came"	14	"Filler_49"	5.009
"104"	"can"	2	"Filler_33"	6.583
"105"	"captured"	5	"Filler_24"	8.993375
"106"	"captured"	7	"Filler_51"	7.476875
"107"	"captured"	10	"Filler_17"	6.736625
"108"	"cardboard"	4	"Filler_45"	12.231
"109"	"carefully"	6	"Filler_20"	6.720375
"110"	"cartoonist"	1	"Filler_43"	10.731
"111"	"case"	9	"Filler_36"	1.151125
"112"	"casino"	1	"Filler_41"	11.12
"113"	"censorship"	13	"Filler_43"	7.75875
"114"	"chair"	8	"Filler_8"	3.85925
"115"	"chatted"	10	"Filler_29"	11.61375
"116"	"cheerleader"	4	"Filler_10"	7.76275
"117"	"chef"	11	"Filler_53"	0.34425
"118"	"choir"	4	"Filler_7"	11.07
"119"	"church"	9	"Filler_7"	3.5885
"120"	"cigarettes"	6	"Filler_42"	11.373125
"121"	"cities"	5	"Filler_2"	2.246
"122"	"citizens"	1	"Filler_11"	9.794
"123"	"class"	15	"Filler_12"	2.382625
"124"	"clinic"	7	"Filler_26"	5.996625
"125"	"club"	6	"Filler_21"	6.545
"126"	"club"	7	"Filler_37"	6.96125
"127"	"code"	19	"Filler_53"	0.138
"128"	"coffee"	15	"Filler_30"	4.551
"129"	"come"	3	"Filler_0"	4.246
"130"	"comforted"	2	"Filler_40"	23.785
"131"	"company"	1	"Filler_27"	6.949
"132"	"complained"	9	"Filler_23"	8.819375
"133"	"complaints"	19	"Filler_14"	2.65675
"134"	"complying"	19	"Filler_51"	4.91675
"135"	"computer"	18	"Filler_47"	4.03775
"136"	"concert"	4	"Filler_39"	7.962375
"137"	"concert"	7	"Filler_23"	7.753125
"138"	"confident"	8	"Filler_41"	6.1605
"139"	"constantly"	3	"Filler_22"	8.866875
"140"	"consulted"	10	"Filler_36"	7.56
"141"	"contacted"	7	"Filler_19"	8.79775
