"Word"	"wordInItem"	"item"	"SurprisalReweighted"
"142"	"cook"	1	"Filler_55"	10.944125
"143"	"coroner"	13	"Filler_36"	6.84125
"144"	"could"	13	"Filler_24"	1.351125
"145"	"could"	15	"Filler_34"	4.28375
"146"	"could"	16	"Filler_21"	4.329125
"147"	"crack"	3	"Filler_33"	9.974
"148"	"crippled"	10	"Filler_4"	8.016625
"149"	"criticized"	11	"Filler_28"	10.095
"150"	"crowd"	11	"Filler_49"	1.424625
"151"	"customer"	1	"Filler_19"	9.625
"152"	"customer"	8	"Filler_31"	3.272125
"153"	"damaged"	11	"Filler_31"	3.7055
"154"	"dancing"	5	"Filler_38"	3.567875
"155"	"daredevil"	4	"Filler_41"	12.063875
"156"	"dated"	2	"Filler_10"	13.825
"157"	"day"	10	"Filler_9"	1.042125
"158"	"deal"	13	"Filler_6"	0.322875
"159"	"dean"	8	"Filler_43"	8.77025
"160"	"decided"	18	"Filler_29"	4.44825
"161"	"defender"	1	"Filler_22"	10.256625
"162"	"delivers"	3	"Filler_9"	7.817
"163"	"demands"	22	"Filler_51"	0.873625
"164"	"demonstrators"	4	"Filler_49"	9.41
"165"	"design"	14	"Filler_54"	8.262625
"166"	"desk"	10	"Filler_5"	2.322875
"167"	"despite"	10	"Filler_34"	7.423875
"168"	"detective"	4	"Filler_36"	9.84
"169"	"detective"	4	"Filler_37"	8.019
"170"	"developed"	12	"Filler_27"	1.26275
"171"	"different"	4	"Filler_2"	5.680375
"172"	"difficult"	21	"Filler_36"	6.155375
"173"	"diplomat"	9	"Filler_51"	9.244125
"174"	"director"	8	"Filler_25"	5.88
"175"	"discovered"	16	"Filler_28"	5.76275
"176"	"divorced"	12	"Filler_0"	6.451125
"177"	"divorcee"	1	"Filler_0"	16.407
"178"	"dog"	13	"Filler_17"	4.24375
"179"	"door"	8	"Filler_9"	6.2855
"180"	"doorman"	4	"Filler_29"	16.054125
"181"	"doubted"	2	"Filler_54"	11.373
"182"	"dragon"	1	"Filler_4"	9.811
"183"	"dress"	18	"Filler_53"	3.930875
"184"	"driving"	12	"Filler_46"	5.2705
"185"	"during"	4	"Filler_52"	5.051
"186"	"early"	17	"Filler_55"	5.348375
"187"	"easily"	6	"Filler_33"	5.303
"188"	"easy"	17	"Filler_54"	4.107
"189"	"eat"	4	"Filler_11"	9.737
"190"	"elevator"	9	"Filler_14"	6.013125
"191"	"emergency"	19	"Filler_26"	2.184125
"192"	"employees"	22	"Filler_53"	3.3415
"193"	"energy"	14	"Filler_39"	1.315375
"194"	"engineer"	1	"Filler_14"	10.447875
"195"	"environmentalist"	1	"Filler_49"	12.899
"196"	"escape"	17	"Filler_44"	1.5735
"197"	"ever"	8	"Filler_0"	6.34925
"198"	"every"	6	"Filler_2"	5.961
"199"	"every"	6	"Filler_3"	6.48
"200"	"every"	6	"Filler_50"	3.348
"201"	"every"	9	"Filler_9"	4.9295
"202"	"everybody"	3	"Filler_38"	9.678
"203"	"everyone"	15	"Filler_8"	6.535
"204"	"everyone"	17	"Filler_49"	5.295375
"205"	"everything"	10	"Filler_41"	7.646875
"206"	"evidence"	15	"Filler_6"	4.20975
"207"	"explain"	23	"Filler_36"	4.80425
"208"	"explained"	3	"Filler_20"	8.447
"209"	"extremely"	17	"Filler_19"	6.4765
"210"	"fact"	12	"Filler_34"	0.75325
"211"	"family"	16	"Filler_51"	1.70025
"212"	"fans"	1	"Filler_39"	9.326
"213"	"far"	8	"Filler_4"	4.95325
"214"	"feared"	2	"Filler_31"	9.271
"215"	"files"	7	"Filler_5"	4.142125
"216"	"film"	4	"Filler_16"	4.672875
"217"	"finish"	16	"Filler_25"	4.457
"218"	"finished"	3	"Filler_48"	6.34425
"219"	"fire"	21	"Filler_29"	5.29425
"220"	"firemen"	1	"Filler_6"	13.618
"221"	"fix"	17	"Filler_34"	2.334
"222"	"followed"	8	"Filler_37"	8.746625
"223"	"for"	5	"Filler_42"	5.7435
"224"	"for"	11	"Filler_25"	1.303125
"225"	"for"	14	"Filler_30"	4.71275
"226"	"for"	17	"Filler_51"	5.175625
"227"	"for"	20	"Filler_53"	1.82725
"228"	"for"	23	"Filler_29"	3.0625
"229"	"force"	11	"Filler_45"	1.405875
"230"	"france"	3	"Filler_11"	12.89
"231"	"from"	5	"Filler_26"	6.25875
"232"	"from"	19	"Filler_21"	1.3875
"233"	"fuel"	22	"Filler_28"	9.626125
"234"	"gangster"	1	"Filler_37"	14.416
"235"	"garbage"	5	"Filler_3"	2.457
"236"	"go"	12	"Filler_41"	0.95725
"237"	"go"	13	"Filler_12"	1.064375
"238"	"goes"	2	"Filler_18"	7.517
"239"	"going"	18	"Filler_23"	2.006375
"240"	"got"	11	"Filler_0"	3.410125
"241"	"great"	9	"Filler_40"	5.97475
"242"	"great"	10	"Filler_45"	4.160375
"243"	"great"	12	"Filler_6"	6.654875
"244"	"guard"	4	"Filler_44"	7.41425
"245"	"guest"	14	"Filler_29"	3.185
"246"	"guilt"	19	"Filler_6"	1.55575
"247"	"guitarist"	7	"Filler_39"	8.475625
"248"	"had"	7	"Filler_54"	2.904375
"249"	"had"	9	"Filler_12"	2.254125
"250"	"had"	9	"Filler_25"	1.672375
"251"	"had"	10	"Filler_24"	1.986
"252"	"had"	11	"Filler_27"	1.36
"253"	"had"	11	"Filler_44"	2.473625
"254"	"had"	14	"Filler_53"	2.735375
"255"	"had"	16	"Filler_8"	3.476375
"256"	"had"	17	"Filler_37"	1.6855
"257"	"has"	2	"Filler_0"	5.406
"258"	"he"	6	"Filler_32"	1.227875
"259"	"he"	6	"Filler_4"	0.904
"260"	"he"	6	"Filler_40"	1.499375
"261"	"he"	6	"Filler_41"	1.424875
"262"	"he"	9	"Filler_39"	0.750125
"263"	"he"	10	"Filler_44"	0.719
"264"	"he"	10	"Filler_46"	1.6635
"265"	"he"	13	"Filler_53"	1.103375
"266"	"he"	14	"Filler_34"	1.34375
"267"	"he"	15	"Filler_28"	2.63125
"268"	"he"	16	"Filler_37"	1.89125
"269"	"help"	14	"Filler_1"	8.357375
"270"	"help"	14	"Filler_24"	0.997375
"271"	"her"	6	"Filler_0"	4.728125
"272"	"her"	8	"Filler_10"	1.667
"273"	"him"	9	"Filler_54"	2.7815
"274"	"him"	12	"Filler_25"	0.36925
"275"	"him"	18	"Filler_21"	1.295
"276"	"him"	22	"Filler_29"	0.6075
"277"	"hippies"	1	"Filler_23"	13.845
"278"	"hired"	2	"Filler_41"	8.612
"279"	"hired"	7	"Filler_34"	11.345375
"280"	"hired"	8	"Filler_55"	8.238125
"281"	"his"	4	"Filler_48"	1.494125
"282"	"his"	6	"Filler_13"	1.3925
"283"	"his"	9	"Filler_5"	2.677625
"284"	"his"	15	"Filler_51"	3.396875
"285"	"his"	18	"Filler_14"	3.4665
"286"	"his"	18	"Filler_6"	4.967875
"287"	"historian"	4	"Filler_8"	10.174875
"288"	"holds"	5	"Filler_7"	5.988
"289"	"home"	18	"Filler_49"	1.442625
"290"	"homework"	5	"Filler_48"	3.132125
"291"	"hotel"	9	"Filler_29"	5.257375
"292"	"hurt"	7	"Filler_10"	9.76975
"293"	"husband"	4	"Filler_13"	6.427125
"294"	"ignored"	5	"Filler_13"	7.52175
"295"	"implicated"	9	"Filler_37"	12.6215
"296"	"important"	9	"Filler_32"	7.244875
"297"	"impossible"	14	"Filler_25"	2.8215
"298"	"in"	4	"Filler_18"	1.8835
"299"	"in"	4	"Filler_34"	5.196
"300"	"in"	4	"Filler_47"	4.516125
"301"	"in"	4	"Filler_51"	4.17
"302"	"in"	5	"Filler_55"	5.56825
"303"	"in"	7	"Filler_17"	4.935875
"304"	"in"	7	"Filler_7"	2.31275
"305"	"in"	8	"Filler_40"	3.814625
"306"	"in"	20	"Filler_28"	2.5725
"307"	"inconvenient"	18	"Filler_19"	5.29875
"308"	"influence"	15	"Filler_46"	0.02325
"309"	"information"	11	"Filler_24"	6.800625
"310"	"instituted"	15	"Filler_53"	11.04975
"311"	"intention"	13	"Filler_44"	3.434
"312"	"intern"	1	"Filler_40"	10.845
"313"	"into"	6	"Filler_45"	1.794
"314"	"into"	17	"Filler_26"	1.920375
"315"	"is"	2	"Filler_22"	2.562
"316"	"is"	2	"Filler_42"	2.751
"317"	"island"	4	"Filler_24"	1.382
"318"	"it"	15	"Filler_17"	1.0635
"319"	"it"	24	"Filler_29"	4.32375
"320"	"its"	5	"Filler_27"	3.229
"321"	"its"	9	"Filler_27"	6.899
"322"	"janitor"	1	"Filler_29"	12.179
"323"	"jogging"	3	"Filler_18"	8.49525
"324"	"journalists"	4	"Filler_28"	9.721
"325"	"jungle"	6	"Filler_51"	6.23075
"326"	"keeper"	6	"Filler_22"	5.821
"327"	"kicked"	6	"Filler_8"	9.744375
"328"	"kid"	4	"Filler_12"	2.923
"329"	"kids"	8	"Filler_12"	2.979625
"330"	"kill"	14	"Filler_51"	0.84125
"331"	"kitchen"	7	"Filler_55"	4.087
"332"	"knew"	2	"Filler_25"	9.48
"333"	"knight"	4	"Filler_4"	4.872
"334"	"lab"	6	"Filler_47"	3.29675
"335"	"larger"	17	"Filler_17"	6.500625
"336"	"last"	15	"Filler_23"	8.031875
"337"	"launch"	9	"Filler_28"	2.625
"338"	"lawyer"	4	"Filler_14"	8.969
"339"	"leak"	19	"Filler_28"	2.566125
"340"	"leave"	11	"Filler_12"	1.3155
"341"	"left"	14	"Filler_55"	3.889125
"342"	"left"	17	"Filler_8"	0.933875
"343"	"librarian"	1	"Filler_15"	11.589
"344"	"life"	7	"Filler_0"	6.543
"345"	"light"	8	"Filler_46"	6.854125
"346"	"listened"	16	"Filler_14"	4.639125
"347"	"loathed"	5	"Filler_53"	25.578
"348"	"local"	24	"Filler_55"	2.6995
"349"	"locksmith"	1	"Filler_33"	16.407
"350"	"long"	11	"Filler_54"	3.078
"351"	"long-distance"	13	"Filler_19"	11.717875
"352"	"love"	5	"Filler_0"	9.937625
"353"	"loved"	5	"Filler_39"	7.975
"354"	"manager"	1	"Filler_53"	8.844
"355"	"manager"	17	"Filler_29"	7.48425
"356"	"mansion"	16	"Filler_55"	6.58325
"357"	"markings"	16	"Filler_36"	11.40125
"358"	"mathematician"	1	"Filler_1"	11.533
"359"	"medic"	11	"Filler_26"	8.4205
"360"	"milk"	5	"Filler_9"	10.059375
"361"	"milkman"	1	"Filler_9"	16.407
"362"	"month"	7	"Filler_2"	2.328
"363"	"movie"	5	"Filler_50"	3.398
"364"	"movie"	21	"Filler_55"	1.385625
"365"	"much"	13	"Filler_39"	0.127125
"366"	"murdered"	18	"Filler_37"	4.181625
"367"	"music"	8	"Filler_38"	1.3015
"368"	"natives"	1	"Filler_24"	12.271
"369"	"needed"	11	"Filler_1"	8.180125
"370"	"never"	15	"Filler_43"	6.392875
"371"	"new"	4	"Filler_50"	4.024
"372"	"new"	6	"Filler_27"	3.349
"373"	"new"	9	"Filler_53"	7.223375
"374"	"new"	12	"Filler_19"	6.71225
"375"	"new"	17	"Filler_53"	1.88675
"376"	"no"	12	"Filler_44"	2.035375
"377"	"nobody"	15	"Filler_14"	5.866625
"378"	"not"	18	"Filler_51"	3.059125
"379"	"not"	19	"Filler_29"	1.67625
"380"	"nurse"	4	"Filler_26"	10.507
"381"	"of"	2	"Filler_11"	0.185
"382"	"of"	6	"Filler_5"	1.548
"383"	"of"	13	"Filler_21"	2.123875
"384"	"of"	14	"Filler_44"	0.092625
"385"	"of"	14	"Filler_6"	0.023625
"386"	"of"	16	"Filler_46"	0.9855
"387"	"offended"	5	"Filler_8"	11.897
"388"	"offended"	9	"Filler_55"	12.417125
"389"	"office-worker"	1	"Filler_5"	16.416
"390"	"officials"	12	"Filler_23"	6.74275
"391"	"often"	3	"Filler_42"	4.655
"392"	"on"	2	"Filler_24"	5.678
"393"	"on"	4	"Filler_19"	4.819
"394"	"on"	5	"Filler_16"	3.163
"395"	"on"	7	"Filler_36"	4.155
"396"	"on"	8	"Filler_5"	3.236
"397"	"on"	17	"Filler_36"	0.46775
"398"	"on"	19	"Filler_23"	0.071625
"399"	"only"	4	"Filler_35"	7.274375
"400"	"onto"	5	"Filler_15"	4.992
"401"	"operation"	10	"Filler_32"	0.772
"402"	"operator"	9	"Filler_19"	4.813875
"403"	"other"	2	"Filler_52"	5.396
"404"	"out"	3	"Filler_3"	3.019
"405"	"out"	17	"Filler_27"	3.869
"406"	"over"	13	"Filler_8"	0.54825
"407"	"owner"	12	"Filler_21"	11.3575
"408"	"oysters"	5	"Filler_11"	6.886
"409"	"pain"	10	"Filler_40"	0.331125
"410"	"park"	6	"Filler_18"	3.148
"411"	"party"	2	"Filler_38"	7.771
"412"	"passer-by"	1	"Filler_45"	16.407
"413"	"pastry"	10	"Filler_53"	8.154875
"414"	"patient"	4	"Filler_40"	8.246
"415"	"patient"	14	"Filler_26"	1.45575
"416"	"people"	9	"Filler_30"	6.630375
"417"	"performed"	7	"Filler_32"	2.6355
"418"	"philosopher"	7	"Filler_1"	6.036125
"419"	"phone"	6	"Filler_19"	1.672
"420"	"photographer"	1	"Filler_16"	9.913
"421"	"plan"	15	"Filler_19"	2.353125
"422"	"plan"	15	"Filler_41"	0.09925
"423"	"played"	10	"Filler_39"	2.9645
"424"	"plumber"	9	"Filler_34"	7.652875
"425"	"pointing"	16	"Filler_6"	3.46125
"426"	"police"	4	"Filler_23"	4.5085
"427"	"police"	4	"Filler_46"	2.785375
"428"	"police"	14	"Filler_37"	3.83375
"429"	"potential"	18	"Filler_28"	6.262375
"430"	"pressured"	6	"Filler_43"	11.061375
"431"	"pricing"	14	"Filler_19"	6.358625
"432"	"princess"	14	"Filler_4"	2.204
"433"	"printer"	5	"Filler_31"	9.00175
"434"	"prisoner"	1	"Filler_44"	10.89
"435"	"private"	1	"Filler_20"	8.636
"436"	"processed"	2	"Filler_16"	10.635
"437"	"producer"	1	"Filler_50"	9.983
"438"	"product"	7	"Filler_27"	3.166
"439"	"protect"	12	"Filler_4"	6.553125
"440"	"punched"	2	"Filler_12"	8.676
"441"	"punctually"	2	"Filler_9"	11.616
"442"	"put"	2	"Filler_15"	8.517
"443"	"quarterback"	1	"Filler_10"	9.673
"444"	"questioned"	11	"Filler_36"	7.6085
"445"	"quickly"	2	"Filler_48"	9.028
"446"	"quickly"	11	"Filler_5"	6.87725
"447"	"rally"	7	"Filler_49"	4.978125
"448"	"ran"	6	"Filler_46"	9.62
"449"	"rarely"	10	"Filler_1"	7.215875
"450"	"readers"	4	"Filler_43"	10.632875
"451"	"rebels"	1	"Filler_51"	10.222
"452"	"regularly"	7	"Filler_18"	8.866625
"453"	"regularly"	10	"Filler_7"	7.677625
"454"	"rehearsals"	6	"Filler_7"	4.181
"455"	"remove"	17	"Filler_21"	4.974875
"456"	"repaired"	5	"Filler_30"	12.711
"457"	"reptiles"	3	"Filler_52"	5.129
"458"	"reputation"	9	"Filler_10"	4.64175
"459"	"researchers"	10	"Filler_27"	6.21575
"460"	"robot"	7	"Filler_30"	4.87475
"461"	"rock"	7	"Filler_38"	5.718
"462"	"room"	19	"Filler_8"	1.0585
"463"	"room"	20	"Filler_26"	0.392625
"464"	"roommate"	1	"Filler_3"	12.494
"465"	"run"	15	"Filler_47"	6.888125
"466"	"safe"	5	"Filler_33"	7.990125
"467"	"salesman"	1	"Filler_31"	12.11
"468"	"sample"	13	"Filler_47"	3.0025
"469"	"saw"	3	"Filler_35"	7.378
"470"	"scared"	11	"Filler_17"	8.392625
"471"	"scene"	4	"Filler_6"	1.549
"472"	"school"	11	"Filler_10"	4.537375
"473"	"scientists"	1	"Filler_47"	9.285
"474"	"scolded"	9	"Filler_26"	23.6105
"475"	"scolded"	10	"Filler_14"	23.74675
"476"	"scolding"	4	"Filler_22"	23.221
"477"	"scrounging"	4	"Filler_42"	22.346125
"478"	"season"	2	"Filler_7"	5.897
"479"	"secretary"	13	"Filler_14"	10.862875
"480"	"security"	13	"Filler_49"	4.0815
"481"	"see"	19	"Filler_55"	4.697375
"482"	"sent"	16	"Filler_49"	7.178625
"483"	"servant"	4	"Filler_55"	10.1065
"484"	"set"	10	"Filler_25"	2.33625
"485"	"she"	9	"Filler_1"	4.02125
"486"	"she"	9	"Filler_24"	1.897625
"487"	"she"	10	"Filler_0"	1.023625
"488"	"she"	10	"Filler_43"	1.705375
"489"	"shelf"	7	"Filler_15"	0.73725
"490"	"shoots"	2	"Filler_50"	11.077
"491"	"shopkeeper"	20	"Filler_37"	7.16525
"492"	"show"	4	"Filler_30"	8.91175
"493"	"showman"	1	"Filler_2"	14.836
"494"	"since"	9	"Filler_0"	0.038
"495"	"since"	9	"Filler_46"	12.74775
"496"	"since"	14	"Filler_17"	8.658125
"497"	"singer"	9	"Filler_21"	4.048625
"498"	"so"	12	"Filler_39"	3.129625
"499"	"sold"	16	"Filler_27"	4.672375
"500"	"soon"	14	"Filler_27"	4.919375
"501"	"speaker"	1	"Filler_8"	9.666
"502"	"spider"	1	"Filler_17"	10.717
"503"	"spider"	21	"Filler_17"	10.615625
"504"	"spoke"	6	"Filler_53"	7.429375
"505"	"sportsman"	1	"Filler_18"	14.414
"506"	"stack"	5	"Filler_5"	9.893
"507"	"stage"	20	"Filler_23"	8.404
"508"	"stage"	21	"Filler_21"	3.673125
"509"	"stone"	6	"Filler_52"	8.635625
"510"	"student"	1	"Filler_48"	8.199
"511"	"students"	1	"Filler_32"	8.594
"512"	"studied"	2	"Filler_32"	7.456
"513"	"studied"	7	"Filler_47"	9.041
"514"	"supervised"	8	"Filler_26"	9.16925
"515"	"supported"	5	"Filler_43"	9.1975
"516"	"supported"	8	"Filler_49"	7.130625
"517"	"sure"	3	"Filler_27"	8.861375
"518"	"surgeon"	1	"Filler_36"	10.648
"519"	"surgeon"	4	"Filler_32"	12.226
"520"	"suspected"	15	"Filler_37"	4.279875
"521"	"swimmer"	2	"Filler_35"	12.827
"522"	"tackled"	6	"Filler_44"	10.9695
"523"	"taken"	8	"Filler_54"	3.735375
"524"	"takes"	2	"Filler_3"	8.399
"525"	"taking"	11	"Filler_30"	4.317875
"526"	"talk"	11	"Filler_8"	5.03375
"527"	"tank"	23	"Filler_28"	2.179625
"528"	"task"	5	"Filler_25"	7.128375
"529"	"teacher"	1	"Filler_54"	9.009
"530"	"technician"	1	"Filler_30"	12.106
"531"	"test"	5	"Filler_54"	6.59025
"532"	"than"	18	"Filler_17"	0.426125
"533"	"that"	2	"Filler_17"	3.111
"534"	"that"	2	"Filler_28"	4.695
"535"	"that"	3	"Filler_25"	2.687
"536"	"that"	3	"Filler_31"	1.87
"537"	"that"	3	"Filler_54"	1.824
"538"	"that"	4	"Filler_27"	1.519
"539"	"that"	6	"Filler_54"	6.304
"540"	"that"	9	"Filler_41"	1.910375
"541"	"that"	12	"Filler_24"	1.468125
"542"	"that"	12	"Filler_43"	3.03525
"543"	"that"	13	"Filler_34"	0.4825
"544"	"the"	1	"Filler_13"	2.756
"545"	"the"	1	"Filler_35"	3.675
"546"	"the"	1	"Filler_38"	1.009
"547"	"the"	1	"Filler_7"	1.009
"548"	"the"	3	"Filler_1"	0.767875
"549"	"the"	3	"Filler_10"	2.4435
"550"	"the"	3	"Filler_12"	2.264
"551"	"the"	3	"Filler_13"	5.38
"552"	"the"	3	"Filler_14"	8.43
"553"	"the"	3	"Filler_15"	1.98825
"554"	"the"	3	"Filler_16"	1.745
"555"	"the"	3	"Filler_17"	5.786375
"556"	"the"	3	"Filler_23"	8.752
"557"	"the"	3	"Filler_24"	1.199
"558"	"the"	3	"Filler_26"	7.635
"559"	"the"	3	"Filler_28"	5.811
"560"	"the"	3	"Filler_29"	8.581
"561"	"the"	3	"Filler_30"	0.942
"562"	"the"	3	"Filler_32"	1.701
"563"	"the"	3	"Filler_36"	9.198
"564"	"the"	3	"Filler_37"	8.11475
"565"	"the"	3	"Filler_39"	1.844
"566"	"the"	3	"Filler_4"	2.90525
"567"	"the"	3	"Filler_40"	7.88825
"568"	"the"	3	"Filler_41"	3.0105
"569"	"the"	3	"Filler_43"	8.818
"570"	"the"	3	"Filler_44"	7.579
"571"	"the"	3	"Filler_45"	3.065
"572"	"the"	3	"Filler_46"	8.6535
"573"	"the"	3	"Filler_49"	8.371
"574"	"the"	3	"Filler_53"	8.008
"575"	"the"	3	"Filler_55"	8.709875
"576"	"the"	3	"Filler_6"	1.151
"577"	"the"	3	"Filler_7"	4.155
"578"	"the"	3	"Filler_8"	7.6405
"579"	"the"	4	"Filler_20"	2.4425
"580"	"the"	4	"Filler_25"	2.414
"581"	"the"	4	"Filler_3"	1.619
"582"	"the"	4	"Filler_31"	1.629875
"583"	"the"	4	"Filler_33"	2.194875
"584"	"the"	4	"Filler_5"	1.33
"585"	"the"	4	"Filler_54"	1.64825
"586"	"the"	4	"Filler_9"	2.259375
"587"	"the"	5	"Filler_18"	1.396625
"588"	"the"	5	"Filler_19"	0.978625
"589"	"the"	5	"Filler_21"	0.738125
"590"	"the"	5	"Filler_22"	6.60175
"591"	"the"	5	"Filler_34"	1.512
"592"	"the"	5	"Filler_47"	2.119
"593"	"the"	5	"Filler_51"	2.546
"594"	"the"	5	"Filler_52"	0.654
"595"	"the"	6	"Filler_1"	8.148375
